hotel,Rating,totalScore,Asp_0,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Asp_6,Asp_7,Asp_8,Asp_9,Asp_10,Asp_11,Asp_12,Asp_13,Asp_14,Asp_15,Asp_16,Asp_17,Asp_18,Asp_19
Hampton Inn Charlotte-Uptown,4.5 , 0.044659058104758315,0,0,0,0,0,0,0.014196869257565142,0,0.0005029831440169916,0.0040892572138535085,0.006640777646092391,0,0.009100599088088513,0.008151934963867716,0.01755440921226329,0,0,0.00023048947700889965,0,0.0007179644775187105
Haven Hotel,2.5 , 0.03817819880344856,0,0,0,0,0,0,0.015177024076421719,0,0,0,0.0013234285164456698,0,0.011336982632116337,0.006545653313116857,0.011562690188623992,0,0,0,0,0
Hilton Garden Inn Toronto Downtown,4.0 , 0.10198237421903446,0.010574655279206879,0,0.0012965066171894781,0.006476247505771027,0.0018399043954479396,0.0013679763760419985,0.03140299094843298,0,0.00011391699050291909,0.0039313763192730606,0.008735792604536009,0,0.016601358502892186,0.0032738547167977753,0.020775832473264994,0,0.0061300260534690645,0.0015715211983981766,0.00026767632229754244,0.005652023968766672
Holiday Inn Express - Bronx NYC - Stadium Area,3.0 , 0.018012859630899936,0,0,0,0,0,0,0.014442506210837135,0,0,0,0,0,0,0,0.0035703534200628,0,0,0,0,0
Holly House Hotel,2.5 , 0.054056369973950656,0.003377448542362056,0,0.0010973940201227292,0.0010281503034402458,0,0,0.009885675758093751,0,0,0.0009007332807618513,0.008214608417287264,0,0.01891227899308776,0.0037495562001678877,0.02105956557492829,0,0,0.0025999535412998417,0,0
Hotel Carter,2.5 , 0.030859090303723014,0,0,0,0,0,0,0.01325457303405338,0,0,0,0.0027107950841536847,0,0.00023226220494287027,0,0.014127258854675199,0.00017514031788695407,0,0,0,0.0003590608080109229
Hotel Elegant,3.0 , 0.019154216494506722,0,0,0,0,0,0,0.0033982131977881368,0,0,0,0.00806337967880786,0,0.00033290000793948914,0.0050669083654529155,0.012986331531723438,0,0,0,0,0
Hotel Heritage,4.5 , 0.044969790695217636,0.0036783394843158774,0,0,0,0,0,0.031371585490947776,0,0,0,0.009530527940648077,0,0.006865192971311473,0,0.006475855192005562,0,0,0,0,0
Hotel Horizon,4.5 , 0.059673909549860765,0.0012171873950819407,0,0,0.002385574295353079,0,0,0.030545855076011517,0,0,0,0.01345771139076125,0,0.009414608367993026,0.0007391649422168983,0.010727240490961638,0,0.000996452383972133,0.000996452383972133,0,0
Hotel Manama,2.5 , 0.025574467764120302,0.0022112533317421392,0,0,0,0,0,0.015562666795400125,0,0,0.001386574238436147,0.005713245005314153,0,0,0,0.00588822485984692,0,0,0.002369899980707344,0,0
Hotel Mars,2.0 , 0.024069179433725333,0,0,0,0,0,0,0.014811250796242023,0,0,0,0.0034617161824089856,0,0.0012709220686910633,0,0.0034617161824089856,0,0,0.007987006568792246,0,0
Hotel Samrat,2.0 , 0.0213494414469939,0,0,0,0,0,0,0.017001557556258585,0,0,0,0.002246104776627154,0,0,0.004347883890735316,0.006593988667362469,0,0,0,0,0
Hotel Shambala,4.5 , 0.0900788297082406,0.003943509844028937,0,0,0.00026923214361217743,0,0.00353040466450655,0.042137618815416854,0,0,0.010027731805705264,0.009555917608123115,0.0007786074719080372,0.009394858703408377,0.002809095165192093,0.012713615462226746,0,0.00029687858329220646,0.001717605174490992,0,0.008249181037670321
Hotel Sheela,3.0 , 0.04337516235839041,0.0011655187498436955,0,0,0,0,0,0.014197530298641427,0,0,0.0017195933082015346,0.004721449756702269,0,0.01567740837770224,0,0.00849677418897596,0,0,0,0.0022397404734382197,0
Hotel Sophia,1.5 , 0.014775118240649027,0.0021011974369885195,0,0,0,0,0,0.004241205046446165,0,0,0,0.0038795346927655234,0,0.0065049295279816875,0,0.005807320921998179,0,0,0.0021011974369885195,0,0
Hotel Texas,2.0 , 0.01029568038448989,0,0,0,0,0,0,0,0,0,0.0012349273732521803,0.0013989502823848732,0,0.007661802728852835,0,0,0,0,0,0,0
Hotel View Point,3.0 , 0.03798659010131767,0,0,0,0,0,0.01173316563871674,0.015693216758643144,0,0,0.0012336090688577085,0.0009233733647972702,0,0.004237852846279056,0.0022618097508746984,0.0041653724240237585,0,0,0,0,0
Kathmandu Guest House,4.0 , 0.0759407779237676,0.0062454963234112445,0,0,0.003325303724759896,0.0005886310798819437,0,0.028631408505686268,9.01984690900113e-05,0,0.005837289573469455,0.012023291632515271,0,0.010488742122206657,0.0031818197433409095,0.01611144802997562,0,0.0026458490937785314,0.002959781320164374,3.122651800468933e-05,0.000509170321369655
Knights Inn Mesa AZ,2.5 , 0.001818930197329304,0,0,0,0,0,0,0,0,0,0.001818930197329304,0,0,0,0,0,0,0,0,0,0
Lanta New Beach Bungalows,2.5 , 0.0300024057785519,0.0017804057946233015,0,0,0,0,0.0007469454491737874,0.008845760820993734,0,0,0.006062761178010841,0.008479437719575964,0,0.006840627279527811,0,0.004611812979347251,0,0,0,0,0
Manhattan Bowery Lodge,3.0 , 0.0040496795184291005,0,0,0,0,0,0,0,0,0,0,0.0040496795184291005,0,0,0,0,0,0,0,0,0
Margot Guest House,4.5 , 0.059062929873132025,0.01627771724800599,0,0,0.003208327085309641,0,0,0.018039890405362878,0,0,0,0.012565956235403703,0,0.014709854201156879,0,0.012305158888146896,0.0014369286462876355,0,0,0.0011204886878657216,0
Metro Inns Walsall,2.0 , 0.04314785719649172,0,0,0,0,0.0023360619168865506,0.00028717354931683003,0.013948735356228242,0,0,0.003314104958178468,0.004924465945231306,0,0.014112473092477406,0.0018354951813295338,0.00931619542251699,0,0,0,0,0
Microtel Inn & Suites by Wyndham Kannapolis Concord,2.5 , 0.01931912103488685,0.000944422881335212,0,0.00023732940655548694,0,0,0,0.006418074085807369,0,0,0,0.0048543148467916795,0,0.009485878108709989,0.0006290124394772215,0.005347966428144876,0,0,9.645694531349968e-05,0,0
Midtown East Residence by Globe Quarters,4.5 , 0.04778490518540142,0,0,0.01888413907548932,0.00517849258442548,0,0,0.005831581909537264,0,0,0,0.005831581909537264,0,0.006218914605134115,0,0.0175033589203525,0,0,0,0,0
Motel 6 Evansville,2.5 , 0.005525695476132457,0,0,0,0,0,0,0.0035628398785292176,0,0,0,0.005525695476132457,0,0,0,0.0035628398785292176,0,0,0,0,0
Motel 8 Las Vegas,2.5 , 0.01161762884291511,0,0,0,0,0,0,0,0,0,0,0,0,0.0030987343269652523,0,0.008518894515949858,0,0,0,0,0
Nellis Suites at Main Gate,2.5 , 0.011021304370142657,0,0,0.0011806658882580984,0,0,0,0.003787450566565385,0,0,0,0.009840638481884559,0,0,0,0.003787450566565385,0,0,0,0,0
